Shot Time,Shot Count,Energy meter,Energy counts,Hot Plate(C),f_i,Error f_i
239540928,1,50.32,52.5,60.4,1.01526410311493,-0.012648360648873
239541028,2,50.46,53.2,60.4,1.00469285996947,-0.00210435342117288
239541129,3,50.48,53.1,60.4,1.00698390042904,-0.00438949120792409
239541232,4,50.65,53.4,60.4,1.00469882571598,-0.00211030379743216
239541336,5,51.21,54.4,60.48,0.997134122069881,0.00543491002674368
239541436,6,52.3,55.3,60.5333333333333,1.00178438863887,0.000796624477972685
239541536,7,52.67,56,60.5714285714286,0.996260687432868,0.00630609433296647
239541637,8,52.97,56.3,60.6,0.996596322066267,0.00597132443393622
239541738,9,52.75,56.1,60.6,0.995995335933416,0.00657076217662489
239541849,10,53.28,56.4,60.6,1.00065141577348,0.00192667833418347
239541940,11,53.7,56.7,60.62,1.00320324621076,-0.000618577526873665
239542041,12,53.62,56.5,60.64,1.00525458779693,-0.00266463400418204
239542143,13,53.87,57.1,60.64,0.999329181096349,0.00324550638501109
239542246,14,54.01,57,60.64,1.00368405223585,-0.00109814479572701
239542347,15,54.48,57.3,60.6,1.00711758453726,-0.00452283089029737
239542448,16,54.46,57.6,60.56,1.00150438596491,0.00107590574861671
239542549,17,54.37,57.7,60.56,0.998116469683741,0.00445509334878647
239542650,18,54.43,57.4,60.56,1.00444033428519,-0.00185247834805091
239542751,19,54.71,57.3,60.58,1.01136936582293,-0.00876365781953337
239542851,20,54.54,58.1,60.58,0.994344104667866,0.00821773918387025
239542953,21,54.85,57.7,60.58,1.00692823914205,-0.00433397332755314
239543054,22,54.57,57.8,60.58,1.00005484298983,0.00252171409829249
239543155,23,54.4,57.8,60.6,0.996939407341884,0.00562912308864061
239543255,24,54.46,57.6,60.62,1.00150438596491,0.00107590574861671
239543356,25,54.4,57.4,60.62,1.00388672028503,-0.00130029068774506
239543461,26,54.79,57.5,60.62,1.00932529584832,-0.00672485421907343
239543562,27,54.93,57.8,60.58,1.00665223612665,-0.00405868141067978
239543663,28,54.79,58.2,60.56,0.99718564452368,0.00538352031620759
239543765,29,54.87,58,60.54,1.00208524760176,0.000496540652858868
239543866,30,54.79,58,60.54,1.00062421571169,0.00195380831729797
