Shot Time,Shot Count,Energy meter,Energy counts,Hot Plate(C),f_i,Error f_i
239595188,1,50.48,54.1,61.5,1.03221203200763,-0.0284529126431101
239595243,2,50.93,55.8,61.5,1.00968595055461,-0.00600886688273783
239595316,3,51.04,56.5,61.5,0.999330296183018,0.00430907417059434
239595363,4,51.46,56.2,61.5,1.01293202555848,-0.00924312030050345
239595420,5,51.29,57.2,61.5,0.991935666580689,0.0116767739421614
239595463,6,51.57,57.1,61.5,0.999097469873544,0.00454105257105153
239595508,7,51.74,57,61.5,1.00414956557457,-0.000492644360927885
239595554,8,52.05,57.1,61.5,1.00839680641687,-0.00472441756208575
239595602,9,52.08,57.4,61.5,1.0037046106915,-4.93099186886781E-05
239595649,10,51.91,57.7,61.5,0.995226775489104,0.00839765062473485
239595697,11,52.13,57.1,61.5,1.00994669584076,-0.00626866258427539
239595747,12,52.13,57.9,61.53,0.995992337349003,0.0076348767951272
239595797,13,51.97,57.8,61.56,0.99465326920933,0.00896906830401245
239595875,14,52.22,57.7,61.59,1.00117014478985,0.00247592594150714
239595919,15,52.3,58.1,61.62,0.995800620318041,0.00782589562922453
239595980,16,52.47,57.9,61.65,1.0024883548955,0.00116251650566512
239596029,17,52.16,57.5,61.68,1.00349814503993,0.000156403824352003
239596092,18,52.41,58.2,61.71,0.996180442162735,0.00744745702325245
239596159,19,52.44,58.1,61.71,0.998466243393462,0.00516998024467574
239596210,20,52.22,57.9,61.71,0.997711871405427,0.00592160495379901
239596262,21,52.13,58,61.71,0.994275109181159,0.00934585114548048
239596313,22,52.39,57.7,61.68,1.00442941182574,-0.00077147146542389
239596364,23,52.16,57.8,61.65,0.998289677159104,0.00534590345848163
239596415,24,52.13,57.9,61.62,0.995992337349003,0.0076348767951272
239596466,25,52.11,58.2,61.59,0.990478207233355,0.013128925500509
239596517,26,52.25,57.5,61.56,1.0052296410724,-0.00156878642978553
239596568,27,52.11,57.5,61.56,1.00253620279967,0.0011148428544282
239596618,28,52.47,57.5,61.56,1.00946218692955,-0.00578591816212137
239596669,29,52.61,57.8,61.59,1.00690222230331,-0.00323527643882837
239596720,30,52.36,57.9,61.62,1.00038670215987,0.00325651542284422
239596771,31,52.53,57.8,61.65,1.00537110316656,-0.00170973334597346
239596826,32,52.47,58.1,61.68,0.999037448338196,0.00460085551941491
239596872,33,52.41,58.1,61.71,0.997895038448729,0.00573910496993613
239596927,34,52.64,57.9,61.71,1.00573636366874,-0.00207366363906591
239596974,35,52.41,57.9,61.71,1.00134199885788,0.00230469773321751
239597026,36,52.58,57.9,61.71,1.00459000763113,-0.00093148241151364
239597080,37,52.53,57.5,61.68,1.01061651761786,-0.00693604499821321
239597125,38,52.64,58,61.65,1.00400233545552,-0.000345950425894914
239597220,39,52.25,57.4,61.62,1.0069809122241,-0.003313679785935
239597283,40,52.86,57.3,61.59,1.02051495363361,-0.0167984327977526
239597334,41,52.47,58.5,61.59,0.992206423050413,0.0114070035158634
239597385,42,52.44,57.7,61.59,1.00538801977747,-0.00172658834981521
239597436,43,52.69,57.5,61.59,1.0136947327867,-0.0100030498944572
239597486,44,52.89,58.2,61.62,1.00530401804974,-0.00164289254035821
239597537,45,52.72,58.1,61.65,1.0037974895443,-0.000141850524422393
239597588,46,52.81,57.8,61.68,1.01073002014517,-0.0070491341709662
239597639,47,52.81,57.7,61.71,1.0124817186203,-0.0087944532943125
239597689,48,52.67,58.1,61.74,1.00284548130308,0.000806690684345135
239597740,49,52.67,58.3,61.77,0.99940518805676,0.00423445503877284
239597791,50,52.69,58,61.8,1.00495598509026,-0.00129612705053939
239597842,51,52.78,58,61.8,1.00667255443279,-0.0030064449749001
239597893,52,52.81,57.9,61.8,1.00898437244199,-0.00530984378379684
239597944,53,52.41,58.3,61.8,0.994471727853708,0.00914994852063955
