Shot Time,Shot Count,Energy meter,Energy counts,Hot Plate(C),f_i,Error f_i
239597995,54,52.67,58.1,61.8,1.00284548130308,0.000806690684345135
239598045,55,52.67,57.4,61.8,1.0150753042458,-0.0113785935756019
239598096,56,52.67,58.1,61.8,1.00284548130308,0.000806690684345135
239598146,57,52.75,58.1,61.8,1.00436869448904,-0.000710975249682777
239598197,58,52.78,58.2,61.8,1.00321319857564,0.000440312567969059
239598248,59,52.22,58.1,61.8,0.994277407132087,0.00934356156325244
239598299,60,52.75,58.1,61.8,1.00436869448904,-0.000710975249682777
239598349,61,52.69,57.3,61.8,1.0172329342973,-0.0135283659499355
239598399,62,52.55,58.3,61.8,0.997128206424582,0.00650314433809585
239598451,63,52.69,57.8,61.8,1.00843334144005,-0.00476081953168328
239598506,64,52.75,58,61.8,1.00610036465195,-0.0024363390001132
239598561,65,52.86,58.1,61.8,1.00646311261973,-0.00279776590897107
239598612,66,52.78,58.3,61.8,1.00149242121959,0.00215482318105986
239598670,67,52.27,58.3,61.8,0.991815249282834,0.0117967527031834
239598721,68,52.61,57.5,61.8,1.01215562520228,-0.00846954744633521
239598771,69,52.61,57.9,61.8,1.00516318564993,-0.00150257302528978
239598830,70,52.75,57.9,61.8,1.00783801640437,-0.00416766255624457
239598880,71,52.64,58,61.8,1.00400233545552,-0.000345950425894914
239598930,72,52.55,57.8,61.8,1.00575388295075,-0.00209111911918702
239598977,73,52.72,57.5,61.8,1.01427189813085,-0.0105781133125034
239599070,74,52.55,57.9,61.8,1.00401682961232,-0.000360391797737725
239599134,75,52.72,58.2,61.8,1.00207275158976,0.00157660626342038
239599187,76,52.67,58.5,61.8,0.995988418183062,0.00763878168821297
239599239,77,52.75,57.8,61.8,1.00958168079261,-0.00590497685132463
239599290,78,52.58,58.4,61.8,0.995989065784968,0.00763813644474942
239599341,79,52.67,57.9,61.8,1.00630954168755,-0.00264475425284183
239599391,80,52.75,58.1,61.8,1.00436869448904,-0.000710975249682777
239599442,81,52.67,57.7,61.8,1.00979761635544,-0.00612012601801637
239599492,82,52.64,58.1,61.8,1.00227427635835,0.00137581540960574
239599544,83,52.33,58.3,61.8,0.992953740098923,0.0106624080535217
239599594,84,52.75,58.2,61.8,1.0026429750827,0.00100845941569461
239599645,85,52.36,57.7,61.8,1.0038542470547,-0.000198401334788878
239599696,86,52.58,58.3,61.8,0.997697451832627,0.00593597201326523
239599746,87,52.64,57.4,61.8,1.01449713338711,-0.0108025283049111
239599797,88,52.69,58.2,61.8,1.00150252809682,0.00214475311114615
239599848,89,52.64,57.9,61.8,1.00573636366874,-0.00207366363906591
239599899,90,52.81,58.1,61.8,1.0055111043785,-0.00184922470020377
239599949,91,52.36,58.3,61.8,0.993522985506967,0.0100952357286908
239600000,92,52.25,57.9,61.8,0.998285049424235,0.00535051434002309
239600051,93,52.67,57.7,61.8,1.00979761635544,-0.00612012601801637
239600102,94,52.81,57.5,61.8,1.01600339416332,-0.0123033035666409
239600153,95,52.69,58.3,61.8,0.999784684995457,0.00385634015555236
239600204,96,52.36,58.3,61.8,0.993522985506967,0.0100952357286908
239600256,97,52.72,57.7,61.8,1.01075622430718,-0.00707524290240791
239600306,98,52.89,58,61.8,1.00877058362923,-0.00509683354911816
239600373,99,52.25,58.5,61.8,0.9880462284045,0.0155520475262791
239600420,100,52.67,57.7,61.8,1.00979761635544,-0.00612012601801637
