Shot Time,Shot Count,Energy meter,Energy counts,Hot Plate(C),f_i,Error f_i
239572182,42,52.69,58.4,60.98,0.998072724918409,0.00398122588590266
239572282,43,52.33,58.2,60.98,0.994659846181567,0.00738708120165421
239572383,44,52.67,57.7,61.01,1.00979761635544,-0.00771953669799696
239572484,45,52.25,58.3,61.04,0.991435752344138,0.010604540121642
239572585,46,52.64,57.5,61.07,1.01273279054644,-0.0106486705441935
239572686,47,52.75,57.9,61.1,1.00783801640437,-0.00576396944093061
239572787,48,52.64,58.5,61.15,0.995421118913165,0.00662737510613454
239572888,49,52.25,58.1,61.2,0.99484861207682,0.00719870377094201
239572989,50,52.69,57.9,61.25,1.00669166036676,-0.00461997250886514
239573091,51,52.72,57.9,61.3,1.00726483838556,-0.00519197097489821
239573192,52,52.36,58.2,61.3,0.995230069674505,0.00681803118132263
239573292,53,52.58,57.7,61.3,1.00807212204232,-0.00599759330891736
239573393,54,52.69,57.6,61.3,1.01193484609783,-0.00985236819901525
239573494,55,52.58,58.1,61.3,1.00113186646888,0.000928379794758571
239573595,56,52.47,58.3,61.3,0.995610218669797,0.00643866450110142
239573696,57,52.58,58.2,61.3,0.999411708622717,0.00264499769889115
239573797,58,52.75,57.9,61.3,1.00783801640437,-0.00576396944093061
239573898,59,52.27,58.2,61.3,0.993519399195691,0.00852518124231738
239573998,60,52.5,57.7,61.3,1.00653834931955,-0.00446697696306875
239574098,61,52.75,57.9,61.32,1.00783801640437,-0.00576396944093061
239574200,62,52.58,58,61.34,1.00285795589383,-0.000794157481457392
239574300,63,52.55,58.1,61.36,1.00056066152415,0.00149840924713884
239574400,64,52.69,58,61.38,1.00495598509026,-0.00288786910798766
239574500,65,52.69,57.9,61.38,1.00669166036676,-0.00461997250886514
239574601,66,52.64,57.9,61.38,1.00573636366874,-0.00366664173214382
239574702,67,52.64,58.2,61.38,1.00055215560859,0.00150689765822809
239574802,68,52.44,58.1,61.38,0.998466243393462,0.00358851723920006
239574903,69,52.58,58.1,61.38,1.00113186646888,0.000928379794758571
239575004,70,52.64,57.7,61.38,1.0092224515844,-0.00714555556830376
239575105,71,52.55,58.1,61.36,1.00056066152415,0.00149840924713884
239575209,72,52.58,58.1,61.36,1.00113186646888,0.000928379794758571
239575311,73,52.47,57.9,61.36,1.0024883548955,-0.000425317091291566
239575413,74,52.58,57.8,61.36,1.00632805262703,-0.00425711304367726
239575514,75,52.47,58,61.38,1.0007599266974,0.00129955414507255
239575614,76,52.53,58.1,61.38,1.00017985822766,0.00187842888205891
239575714,77,52.64,57.9,61.38,1.00573636366874,-0.00366664173214382
239575815,78,52.69,57.7,61.38,1.01018105953614,-0.00810219078445895
239575916,79,52.53,57.9,61.38,1.00363471093311,-0.00156931402335725
